"","date","age_group","J12_J18","acm_noresp_nodiar","E40_E46_prim","E70_E90_prim","A30_49_prim","C00_D48_prim","K00_K99_prim","V01_X59_prim"
"265","2005-01-01","co 2-59m A",44,248,24,1,11,12,12,50
"266","2005-02-01","co 2-59m A",46,214,15,2,6,17,14,38
"267","2005-03-01","co 2-59m A",50,284,28,1,11,13,12,54
"268","2005-04-01","co 2-59m A",42,264,18,4,10,21,12,43
"269","2005-05-01","co 2-59m A",67,311,38,2,8,16,10,50
"270","2005-06-01","co 2-59m A",66,251,21,0,13,13,14,48
"271","2005-07-01","co 2-59m A",57,334,23,3,19,22,13,58
"272","2005-08-01","co 2-59m A",48,260,18,1,16,11,16,50
"273","2005-09-01","co 2-59m A",49,265,16,1,15,20,2,50
"274","2005-10-01","co 2-59m A",53,261,21,2,17,19,8,46
"275","2005-11-01","co 2-59m A",54,272,21,3,23,16,10,48
"276","2005-12-01","co 2-59m A",55,300,25,4,14,21,17,59
"277","2006-01-01","co 2-59m A",61,306,29,3,14,25,14,52
"278","2006-02-01","co 2-59m A",50,250,17,2,11,19,11,46
"279","2006-03-01","co 2-59m A",59,239,14,1,9,19,13,51
"280","2006-04-01","co 2-59m A",65,245,21,1,11,14,7,58
"281","2006-05-01","co 2-59m A",55,334,22,3,16,15,13,57
"282","2006-06-01","co 2-59m A",74,330,34,6,15,17,13,68
"283","2006-07-01","co 2-59m A",69,288,29,2,14,20,11,44
"284","2006-08-01","co 2-59m A",49,311,17,3,8,15,19,65
"285","2006-09-01","co 2-59m A",64,313,32,3,12,18,18,58
"286","2006-10-01","co 2-59m A",73,259,14,3,14,14,13,57
"287","2006-11-01","co 2-59m A",59,259,21,2,14,24,21,48
"288","2006-12-01","co 2-59m A",60,280,18,4,14,15,10,54
"289","2007-01-01","co 2-59m A",47,290,14,3,16,22,16,56
"290","2007-02-01","co 2-59m A",55,246,17,5,10,11,9,49
"291","2007-03-01","co 2-59m A",58,253,11,3,9,23,10,40
"292","2007-04-01","co 2-59m A",49,256,23,1,12,20,12,52
"293","2007-05-01","co 2-59m A",65,321,20,3,11,22,11,58
"294","2007-06-01","co 2-59m A",72,349,26,7,11,15,17,59
"295","2007-07-01","co 2-59m A",72,306,18,2,9,28,11,47
"296","2007-08-01","co 2-59m A",71,276,20,4,16,20,10,53
"297","2007-09-01","co 2-59m A",49,259,12,0,12,13,16,59
"298","2007-10-01","co 2-59m A",48,290,11,4,14,21,11,72
"299","2007-11-01","co 2-59m A",41,285,15,4,11,17,12,62
"300","2007-12-01","co 2-59m A",46,291,24,4,10,22,14,49
"301","2008-01-01","co 2-59m A",36,231,17,5,5,15,8,45
"302","2008-02-01","co 2-59m A",35,241,23,5,7,20,9,41
"303","2008-03-01","co 2-59m A",43,272,16,2,13,13,6,46
"304","2008-04-01","co 2-59m A",34,290,21,3,10,10,8,41
"305","2008-05-01","co 2-59m A",45,320,16,0,9,17,11,51
"306","2008-06-01","co 2-59m A",28,334,25,7,10,16,14,58
"307","2008-07-01","co 2-59m A",33,333,17,1,8,13,12,44
"308","2008-08-01","co 2-59m A",42,344,17,2,9,15,10,49
"309","2008-09-01","co 2-59m A",44,356,21,2,9,8,12,45
"310","2008-10-01","co 2-59m A",58,379,22,2,12,20,10,45
"311","2008-11-01","co 2-59m A",48,385,14,3,16,8,13,45
"312","2008-12-01","co 2-59m A",49,434,24,2,13,18,9,42
"313","2009-01-01","co 2-59m A",37,289,21,5,9,17,18,62
"314","2009-02-01","co 2-59m A",30,274,18,1,11,16,14,47
"315","2009-03-01","co 2-59m A",41,260,24,4,5,29,16,56
"316","2009-04-01","co 2-59m A",56,220,11,3,7,24,10,43
"317","2009-05-01","co 2-59m A",43,289,18,3,8,17,14,52
"318","2009-06-01","co 2-59m A",37,274,21,7,9,15,12,41
"319","2009-07-01","co 2-59m A",48,282,18,5,8,15,7,40
"320","2009-08-01","co 2-59m A",51,278,14,4,9,18,13,53
"321","2009-09-01","co 2-59m A",57,261,9,0,8,18,9,42
"322","2009-10-01","co 2-59m A",53,261,9,1,7,22,9,45
"323","2009-11-01","co 2-59m A",42,266,18,4,7,19,15,39
"324","2009-12-01","co 2-59m A",30,222,16,3,8,14,12,31
"325","2010-01-01","co 2-59m A",44,294,26,4,5,14,15,49
"326","2010-02-01","co 2-59m A",36,255,22,4,11,12,11,38
"327","2010-03-01","co 2-59m A",43,256,20,3,6,24,12,45
"328","2010-04-01","co 2-59m A",34,248,15,3,5,29,12,41
"329","2010-05-01","co 2-59m A",64,277,11,1,10,21,11,47
"330","2010-06-01","co 2-59m A",59,256,18,3,11,12,5,47
"331","2010-07-01","co 2-59m A",39,278,27,3,12,21,12,42
"332","2010-08-01","co 2-59m A",30,219,16,2,4,15,7,34
"333","2010-09-01","co 2-59m A",25,210,9,3,9,10,6,31
"334","2010-10-01","co 2-59m A",37,226,10,0,4,20,10,39
"335","2010-11-01","co 2-59m A",33,247,10,4,10,22,8,49
"336","2010-12-01","co 2-59m A",31,248,16,5,7,20,12,50
"337","2011-01-01","co 2-59m A",43,242,12,3,9,21,15,43
"338","2011-02-01","co 2-59m A",27,194,16,1,7,11,10,37
"339","2011-03-01","co 2-59m A",37,184,13,3,8,17,10,29
"340","2011-04-01","co 2-59m A",40,176,6,4,8,16,9,31
"341","2011-05-01","co 2-59m A",48,268,11,4,9,26,10,47
"342","2011-06-01","co 2-59m A",52,237,14,2,11,16,10,36
"343","2011-07-01","co 2-59m A",45,210,13,0,5,17,9,41
"344","2011-08-01","co 2-59m A",46,252,23,2,9,19,13,41
"345","2011-09-01","co 2-59m A",22,217,10,2,4,13,10,40
"346","2011-10-01","co 2-59m A",29,240,19,4,5,20,13,41
"347","2011-11-01","co 2-59m A",26,237,8,0,11,14,12,33
"348","2011-12-01","co 2-59m A",34,205,11,3,13,10,9,39
"349","2012-01-01","co 2-59m A",27,212,16,2,6,17,6,32
"350","2012-02-01","co 2-59m A",31,223,21,2,12,22,9,30
"351","2012-03-01","co 2-59m A",40,225,17,3,6,9,6,32
"352","2012-04-01","co 2-59m A",52,267,18,4,11,21,9,45
"353","2012-05-01","co 2-59m A",52,236,13,1,15,22,15,34
"354","2012-06-01","co 2-59m A",42,230,14,1,9,20,7,30
"355","2012-07-01","co 2-59m A",43,246,17,2,11,20,9,48
"356","2012-08-01","co 2-59m A",28,210,15,1,7,16,8,34
"357","2012-09-01","co 2-59m A",28,216,11,3,15,17,8,36
"358","2012-10-01","co 2-59m A",31,246,15,3,11,20,4,31
"359","2012-11-01","co 2-59m A",26,206,10,6,14,19,10,25
"360","2012-12-01","co 2-59m A",29,227,16,1,11,16,9,32
"361","2013-01-01","co 2-59m A",42,216,16,0,5,17,4,33
"362","2013-02-01","co 2-59m A",27,198,12,4,7,15,8,36
"363","2013-03-01","co 2-59m A",29,225,17,4,4,16,18,34
"364","2013-04-01","co 2-59m A",32,194,14,5,7,18,13,34
"365","2013-05-01","co 2-59m A",65,238,7,6,18,24,11,35
"366","2013-06-01","co 2-59m A",45,257,23,5,8,24,11,26
"367","2013-07-01","co 2-59m A",40,233,13,2,12,27,7,36
"368","2013-08-01","co 2-59m A",41,230,9,3,11,24,11,36
"369","2013-09-01","co 2-59m A",28,216,3,3,10,14,8,30
"370","2013-10-01","co 2-59m A",21,217,15,4,4,18,9,35
"371","2013-11-01","co 2-59m A",20,215,9,2,6,14,7,33
"372","2013-12-01","co 2-59m A",21,256,15,5,8,24,14,38
"373","2014-01-01","co 2-59m A",31,257,17,3,13,16,13,35
"374","2014-02-01","co 2-59m A",25,219,12,2,4,16,8,33
"375","2014-03-01","co 2-59m A",29,206,13,4,9,18,16,22
"376","2014-04-01","co 2-59m A",23,187,7,3,4,18,8,30
"377","2014-05-01","co 2-59m A",40,225,12,2,4,17,14,46
"378","2014-06-01","co 2-59m A",35,213,18,6,4,14,6,35
"379","2014-07-01","co 2-59m A",26,213,12,4,9,19,9,28
"380","2014-08-01","co 2-59m A",19,232,20,4,15,18,8,35
"381","2014-09-01","co 2-59m A",22,211,5,3,1,23,12,24
"382","2014-10-01","co 2-59m A",30,208,15,6,5,16,5,31
"383","2014-11-01","co 2-59m A",27,193,14,4,7,16,11,27
"384","2014-12-01","co 2-59m A",35,251,26,2,13,16,12,40
"385","2015-01-01","co 2-59m A",36,210,14,1,5,12,13,28
"386","2015-02-01","co 2-59m A",32,180,12,1,1,12,10,24
"387","2015-03-01","co 2-59m A",27,183,9,2,5,18,8,32
"388","2015-04-01","co 2-59m A",29,175,8,1,3,17,9,27
"389","2015-05-01","co 2-59m A",22,214,13,2,5,19,11,27
"390","2015-06-01","co 2-59m A",30,201,10,7,7,17,8,27
"391","2015-07-01","co 2-59m A",32,199,17,2,6,19,5,18
"392","2015-08-01","co 2-59m A",28,190,15,2,7,12,5,18
"393","2015-09-01","co 2-59m A",30,204,14,1,9,13,1,20
"394","2015-10-01","co 2-59m A",36,205,14,1,9,15,10,23
"395","2015-11-01","co 2-59m A",26,196,18,2,8,12,7,27
"396","2015-12-01","co 2-59m A",35,232,19,3,8,17,8,35
