"","date","age_group","J12_J18","acm_noresp_nodiar","E40_E46_prim","E70_E90_prim","A30_49_prim","C00_D48_prim","K00_K99_prim","V01_X59_prim"
"529","2005-01-01","ec 2-59m A",50,204,13,5,5,15,3,32
"530","2005-02-01","ec 2-59m A",51,171,17,4,1,13,4,22
"531","2005-03-01","ec 2-59m A",53,166,15,0,5,6,1,30
"532","2005-04-01","ec 2-59m A",46,197,18,3,3,9,4,32
"533","2005-05-01","ec 2-59m A",62,211,13,1,7,8,2,29
"534","2005-06-01","ec 2-59m A",34,179,8,4,8,11,0,27
"535","2005-07-01","ec 2-59m A",38,158,14,4,1,6,1,24
"536","2005-08-01","ec 2-59m A",38,168,9,1,3,8,3,19
"537","2005-09-01","ec 2-59m A",28,144,11,2,3,6,0,27
"538","2005-10-01","ec 2-59m A",26,148,9,4,3,7,8,18
"539","2005-11-01","ec 2-59m A",33,153,6,1,9,9,5,22
"540","2005-12-01","ec 2-59m A",31,139,8,4,2,7,1,20
"541","2006-01-01","ec 2-59m A",46,220,15,4,6,8,6,40
"542","2006-02-01","ec 2-59m A",53,145,7,0,1,9,8,26
"543","2006-03-01","ec 2-59m A",56,199,18,2,2,12,7,33
"544","2006-04-01","ec 2-59m A",26,165,11,2,3,13,5,29
"545","2006-05-01","ec 2-59m A",49,179,19,3,1,6,3,31
"546","2006-06-01","ec 2-59m A",37,140,9,2,4,3,4,26
"547","2006-07-01","ec 2-59m A",42,172,11,8,11,11,3,24
"548","2006-08-01","ec 2-59m A",37,169,16,1,5,10,2,24
"549","2006-09-01","ec 2-59m A",46,161,9,3,6,6,1,29
"550","2006-10-01","ec 2-59m A",48,152,6,1,5,10,5,31
"551","2006-11-01","ec 2-59m A",26,163,14,1,6,7,2,21
"552","2006-12-01","ec 2-59m A",42,129,8,1,1,10,3,16
"553","2007-01-01","ec 2-59m A",45,227,10,3,3,6,8,41
"554","2007-02-01","ec 2-59m A",57,142,14,2,5,10,4,29
"555","2007-03-01","ec 2-59m A",42,165,13,3,5,9,2,27
"556","2007-04-01","ec 2-59m A",28,133,10,1,4,9,2,21
"557","2007-05-01","ec 2-59m A",39,185,13,2,6,13,1,29
"558","2007-06-01","ec 2-59m A",35,177,6,2,1,10,4,22
"559","2007-07-01","ec 2-59m A",36,157,3,9,4,6,4,32
"560","2007-08-01","ec 2-59m A",28,158,9,2,2,7,2,26
"561","2007-09-01","ec 2-59m A",29,139,4,3,2,6,4,31
"562","2007-10-01","ec 2-59m A",28,139,9,3,6,5,1,17
"563","2007-11-01","ec 2-59m A",28,127,7,4,3,8,5,25
"564","2007-12-01","ec 2-59m A",23,127,6,2,5,6,3,17
"565","2008-01-01","ec 2-59m A",36,184,8,3,7,17,6,32
"566","2008-02-01","ec 2-59m A",44,159,12,5,3,8,7,25
"567","2008-03-01","ec 2-59m A",49,190,11,9,4,15,1,34
"568","2008-04-01","ec 2-59m A",41,133,17,3,5,8,4,23
"569","2008-05-01","ec 2-59m A",36,131,4,1,2,13,0,22
"570","2008-06-01","ec 2-59m A",45,151,10,2,2,9,3,30
"571","2008-07-01","ec 2-59m A",29,141,11,1,9,9,1,22
"572","2008-08-01","ec 2-59m A",35,160,7,7,4,13,3,30
"573","2008-09-01","ec 2-59m A",28,140,5,4,4,6,3,27
"574","2008-10-01","ec 2-59m A",40,157,7,1,2,10,0,30
"575","2008-11-01","ec 2-59m A",51,119,1,2,1,6,0,20
"576","2008-12-01","ec 2-59m A",38,153,4,6,7,12,3,33
"577","2009-01-01","ec 2-59m A",45,170,3,3,7,9,7,24
"578","2009-02-01","ec 2-59m A",50,150,11,2,7,9,3,32
"579","2009-03-01","ec 2-59m A",33,159,8,1,5,10,3,20
"580","2009-04-01","ec 2-59m A",38,131,5,2,2,10,2,35
"581","2009-05-01","ec 2-59m A",40,150,4,3,5,5,5,21
"582","2009-06-01","ec 2-59m A",35,152,6,0,8,6,8,31
"583","2009-07-01","ec 2-59m A",20,145,6,1,3,13,1,19
"584","2009-08-01","ec 2-59m A",33,141,3,3,2,9,4,30
"585","2009-09-01","ec 2-59m A",25,140,3,0,2,7,4,29
"586","2009-10-01","ec 2-59m A",28,140,9,0,2,5,2,39
"587","2009-11-01","ec 2-59m A",26,150,3,0,2,7,2,39
"588","2009-12-01","ec 2-59m A",34,119,6,0,3,6,3,27
"589","2010-01-01","ec 2-59m A",34,185,7,4,3,12,5,31
"590","2010-02-01","ec 2-59m A",42,155,7,2,3,8,7,14
"591","2010-03-01","ec 2-59m A",36,176,5,2,3,8,3,26
"592","2010-04-01","ec 2-59m A",32,150,11,5,8,10,6,21
"593","2010-05-01","ec 2-59m A",33,158,4,0,4,7,5,27
"594","2010-06-01","ec 2-59m A",26,145,8,0,3,6,2,26
"595","2010-07-01","ec 2-59m A",29,136,3,0,5,9,3,29
"596","2010-08-01","ec 2-59m A",16,129,5,0,8,9,1,30
"597","2010-09-01","ec 2-59m A",17,138,1,2,7,7,3,32
"598","2010-10-01","ec 2-59m A",32,131,2,4,5,8,3,25
"599","2010-11-01","ec 2-59m A",26,134,8,2,12,5,1,34
"600","2010-12-01","ec 2-59m A",30,116,7,2,7,3,3,30
"601","2011-01-01","ec 2-59m A",40,190,5,1,9,9,7,44
"602","2011-02-01","ec 2-59m A",27,148,7,0,9,4,5,27
"603","2011-03-01","ec 2-59m A",24,133,4,4,6,8,2,34
"604","2011-04-01","ec 2-59m A",24,146,4,1,2,19,3,31
"605","2011-05-01","ec 2-59m A",20,135,5,1,1,6,4,24
