"","date","age_group","J12_J18","acm_noresp_nodiar","E40_E46_prim","E70_E90_prim","A30_49_prim","C00_D48_prim","K00_K99_prim","V01_X59_prim"
"961","2000-01-01","mx 2-59m A",397,1473,112,54,70,70,35,250
"962","2000-02-01","mx 2-59m A",283,1209,89,31,56,79,35,217
"963","2000-03-01","mx 2-59m A",207,1197,81,25,48,79,41,276
"964","2000-04-01","mx 2-59m A",132,997,59,16,46,75,38,188
"965","2000-05-01","mx 2-59m A",125,976,80,19,34,65,40,214
"966","2000-06-01","mx 2-59m A",121,974,74,17,49,69,38,197
"967","2000-07-01","mx 2-59m A",107,1031,93,25,47,73,42,210
"968","2000-08-01","mx 2-59m A",112,995,81,17,48,80,42,171
"969","2000-09-01","mx 2-59m A",152,969,87,15,38,85,31,190
"970","2000-10-01","mx 2-59m A",211,1093,83,20,48,79,43,194
"971","2000-11-01","mx 2-59m A",236,1101,80,16,47,76,31,230
"972","2000-12-01","mx 2-59m A",416,1488,107,37,71,83,41,314
"973","2001-01-01","mx 2-59m A",296,1367,101,25,60,83,40,262
"974","2001-02-01","mx 2-59m A",195,1095,84,17,49,70,33,230
"975","2001-03-01","mx 2-59m A",193,1092,65,22,48,88,45,226
"976","2001-04-01","mx 2-59m A",131,1090,62,21,46,80,37,211
"977","2001-05-01","mx 2-59m A",120,986,64,16,47,78,37,206
"978","2001-06-01","mx 2-59m A",112,978,44,22,43,66,51,202
"979","2001-07-01","mx 2-59m A",111,967,67,19,53,74,27,218
"980","2001-08-01","mx 2-59m A",88,945,73,16,43,80,40,195
"981","2001-09-01","mx 2-59m A",123,857,69,19,39,54,33,188
"982","2001-10-01","mx 2-59m A",170,950,70,16,43,68,38,201
"983","2001-11-01","mx 2-59m A",221,1051,76,15,43,73,42,243
"984","2001-12-01","mx 2-59m A",355,1318,87,31,48,93,41,290
"985","2002-01-01","mx 2-59m A",402,1473,114,37,77,65,34,292
"986","2002-02-01","mx 2-59m A",286,1149,87,22,42,57,38,262
"987","2002-03-01","mx 2-59m A",185,1129,75,15,50,65,44,222
"988","2002-04-01","mx 2-59m A",127,952,63,19,37,62,35,189
"989","2002-05-01","mx 2-59m A",120,986,75,17,45,78,43,213
"990","2002-06-01","mx 2-59m A",85,898,58,19,55,71,37,190
"991","2002-07-01","mx 2-59m A",103,928,65,25,42,77,26,177
"992","2002-08-01","mx 2-59m A",99,969,80,19,38,61,46,213
"993","2002-09-01","mx 2-59m A",137,924,66,21,42,65,33,219
