"","date","age_group","J12_J18","acm_noresp_nodiar","E40_E46_prim","E70_E90_prim","A30_49_prim","C00_D48_prim","K00_K99_prim","V01_X59_prim"
"1297","2005-01-01","pr 2-59m A",81,269,6,3,27,10,15,63
"1298","2005-02-01","pr 2-59m A",70,222,4,7,12,9,14,61
"1299","2005-03-01","pr 2-59m A",66,205,3,3,29,10,16,47
"1300","2005-04-01","pr 2-59m A",73,237,5,4,28,9,13,58
"1301","2005-05-01","pr 2-59m A",98,270,7,4,35,12,13,61
"1302","2005-06-01","pr 2-59m A",125,303,5,10,29,10,22,67
"1303","2005-07-01","pr 2-59m A",87,256,4,1,27,13,20,58
"1304","2005-08-01","pr 2-59m A",107,254,4,7,18,12,13,59
"1305","2005-09-01","pr 2-59m A",76,225,3,7,27,7,15,51
"1306","2005-10-01","pr 2-59m A",69,214,1,3,22,13,15,46
"1307","2005-11-01","pr 2-59m A",67,195,3,7,20,15,9,40
"1308","2005-12-01","pr 2-59m A",80,252,1,3,21,18,6,70
"1309","2006-01-01","pr 2-59m A",79,208,11,2,15,16,9,45
"1310","2006-02-01","pr 2-59m A",51,206,4,9,19,8,11,42
"1311","2006-03-01","pr 2-59m A",55,213,5,3,22,11,8,43
"1312","2006-04-01","pr 2-59m A",61,207,3,2,17,15,16,50
"1313","2006-05-01","pr 2-59m A",85,231,8,3,23,17,13,39
"1314","2006-06-01","pr 2-59m A",99,215,4,4,21,8,9,56
"1315","2006-07-01","pr 2-59m A",84,245,2,4,21,7,10,55
"1316","2006-08-01","pr 2-59m A",63,209,3,2,25,18,14,40
"1317","2006-09-01","pr 2-59m A",77,190,2,3,9,10,15,44
"1318","2006-10-01","pr 2-59m A",50,225,7,4,16,11,15,52
"1319","2006-11-01","pr 2-59m A",67,198,3,3,15,10,12,45
"1320","2006-12-01","pr 2-59m A",58,185,0,2,18,9,7,39
"1321","2007-01-01","pr 2-59m A",82,215,2,1,34,12,13,49
"1322","2007-02-01","pr 2-59m A",54,216,7,6,26,15,4,56
"1323","2007-03-01","pr 2-59m A",59,191,3,2,16,8,10,56
"1324","2007-04-01","pr 2-59m A",57,216,1,3,25,24,5,45
"1325","2007-05-01","pr 2-59m A",91,194,2,1,27,12,6,48
"1326","2007-06-01","pr 2-59m A",92,245,4,3,20,15,16,56
"1327","2007-07-01","pr 2-59m A",94,230,6,2,21,13,14,56
"1328","2007-08-01","pr 2-59m A",64,236,2,4,20,15,8,88
"1329","2007-09-01","pr 2-59m A",48,196,1,2,30,9,9,47
"1330","2007-10-01","pr 2-59m A",77,187,2,3,16,18,3,50
"1331","2007-11-01","pr 2-59m A",69,188,2,3,25,14,13,45
"1332","2007-12-01","pr 2-59m A",68,166,0,1,28,9,7,39
"1333","2008-01-01","pr 2-59m A",56,198,10,2,15,12,7,50
